AnnoS;AteneoCOD;AteneoNOME;Lau_D
2021;5805;Roma Luiss;136
2021;5803;Roma LUMSA;65
2021;5810;Roma Marconi - telematica;17
2021;5818;Roma Saint Camillus;18
2021;5816;Roma San Raffaele - telematica;6
2021;5802;Roma Tor Vergata;228
2021;5807;Roma Tre;72
2021;5815;Roma UNICUSANO - telematica;42
2021;5813;Roma UNINETTUNO - telematica;7
2021;5809;Roma UNINT;20
2021;5811;Roma UNITELMA - telematica;7
2021;1510;Rozzano (MI) Humanitas University;28
2021;7501;Salento;5
2021;6501;Salerno;78
2021;6201;Sannio;1
2021;9001;Sassari;40
2021;5201;Siena;171
2021;5202;Siena Stranieri;15
2021;6701;Teramo;22
2021;101;Torino;346
2021;102;Torino Politecnico;925
2021;2201;Trento;168
2021;3201;Trieste;109
2021;5601;Tuscia;15
2021;3001;Udine;72
2021;4101;Urbino;84
2021;2702;Venezia Iuav;33
2021;2301;Verona;68
2020;701;Aosta;16
2020;7201;Bari;39
2020;7202;Bari Politecnico;8
2020;7601;Basilicata;1
2020;1601;Bergamo;103
2020;3701;Bologna;1014
2020;2101;Bolzano;114
2020;401;Bra Scienze Gastronomiche;23
2020;1701;Brescia;51
2020;2701;Ca' Foscari Venezia;102
2020;9201;Cagliari;30
2020;7801;Calabria;87
2020;4302;Camerino;86
2020;6001;Cassino;75
2020;1201;Castellanza LIUC;9
2020;8701;Catania;29
2020;7901;Catanzaro;6
2020;6901;Chieti e Pescara;43
2020;3801;Ferrara;94
2020;4801;Firenze;335
2020;7101;Foggia;4
2020;1001;Genova;226
2020;1202;Insubria;49
2020;6601;L'Aquila;70
2020;4301;Macerata;41
2020;4201;Marche;60
2020;8301;Messina;48
2020;1501;Milano;457
2020;1509;Milano Bicocca;137
2020;1503;Milano Bocconi;747
2020;1504;Milano Cattolica;247
2020;1505;Milano IULM;35
2020;1502;Milano Politecnico;293
2020;1508;Milano San Raffaele;26
2020;3601;Modena e Reggio Emilia;114
2020;7001;Molise;3
2020;6304;Napoli Benincasa;2
2020;6301;Napoli Federico II;41
2020;6303;Napoli L'Orientale;14
2020;6302;Napoli Parthenope;19
2020;6307;Napoli Pegaso - telematica;20
2020;6306;Napoli Vanvitelli;20
2020;1301;Novedrate e-Campus - telematica;42
2020;2801;Padova;332
2020;8201;Palermo;40
2020;3401;Parma;103
2020;1801;Pavia;172
2020;5401;Perugia;94
2020;5403;Perugia Stranieri;60
2020;201;Piemonte Orientale;26
2020;5001;Pisa;180
2020;8003;Reggio Calabria - Dante Alighieri;15
2020;5814;Roma  Mercatorum - telematica;2
2020;5808;Roma Biomedico;3
2020;5812;Roma Europea;3
2020;5806;Roma Foro Italico;18
2020;5801;Roma La Sapienza;794
2020;5817;Roma Link Campus;7
2020;5805;Roma Luiss;157
2020;5803;Roma LUMSA;53
2020;5810;Roma Marconi - telematica;11
2020;5816;Roma San Raffaele - telematica;9
2020;5802;Roma Tor Vergata;214
2020;5807;Roma Tre;98
2020;5815;Roma UNICUSANO - telematica;26
2020;5813;Roma UNINETTUNO - telematica;15
2020;5809;Roma UNINT;10
2020;5811;Roma UNITELMA - telematica;6
2020;1510;Rozzano (MI) Humanitas University;21
2020;7501;Salento;13
2020;6501;Salerno;64
2020;6201;Sannio;1
2020;9001;Sassari;53
2020;5201;Siena;181
2020;5202;Siena Stranieri;26
2020;6701;Teramo;24
2020;101;Torino;344
2020;102;Torino Politecnico;692
2020;2201;Trento;161
2020;3201;Trieste;102
2020;5601;Tuscia;2
2020;3001;Udine;89
2020;4101;Urbino;76
2020;2702;Venezia Iuav;28
2020;2301;Verona;75
2019;701;Aosta;19
2019;7201;Bari;50
2019;7202;Bari Politecnico;13
