AnnoS;CorsoTIPO;AnnoNascita;SESSO;Lau
2023;Laurea Magistrale Ciclo Unico;2000;F;576
2023;Laurea;2000;M;20229
2023;Laurea Magistrale;2000;M;1234
2023;Laurea Magistrale Ciclo Unico;2000;M;199
2023;Laurea;2001 e successivi;F;39933
2023;Laurea Magistrale;2001 e successivi;F;43
2023;Laurea Magistrale Ciclo Unico;2001 e successivi;F;7
2023;Laurea;2001 e successivi;M;25525
2023;Laurea Magistrale;2001 e successivi;M;52
2023;Laurea Magistrale Ciclo Unico;2001 e successivi;M;6
2022;Laurea;1982 e precedenti;F;5404
2022;Laurea Magistrale;1982 e precedenti;F;4215
2022;Laurea Magistrale Ciclo Unico;1982 e precedenti;F;954
2022;Vecchio Ordinamento;1982 e precedenti;F;362
2022;Laurea;1982 e precedenti;M;5478
2022;Laurea Magistrale;1982 e precedenti;M;3214
2022;Laurea Magistrale Ciclo Unico;1982 e precedenti;M;913
2022;Vecchio Ordinamento;1982 e precedenti;M;183
2022;Laurea;1983;F;454
2022;Laurea Magistrale;1983;F;596
2022;Laurea Magistrale Ciclo Unico;1983;F;144
2022;Vecchio Ordinamento;1983;F;2
2022;Laurea;1983;M;426
2022;Laurea Magistrale;1983;M;347
2022;Laurea Magistrale Ciclo Unico;1983;M;93
2022;Laurea;1984;F;525
2022;Laurea Magistrale;1984;F;698
2022;Laurea Magistrale Ciclo Unico;1984;F;183
2022;Vecchio Ordinamento;1984;F;5
2022;Laurea;1984;M;495
2022;Laurea Magistrale;1984;M;397
2022;Laurea Magistrale Ciclo Unico;1984;M;100
2022;Vecchio Ordinamento;1984;M;3
2022;Laurea;1985;F;598
2022;Laurea Magistrale;1985;F;708
2022;Laurea Magistrale Ciclo Unico;1985;F;219
2022;Vecchio Ordinamento;1985;F;2
2022;Laurea;1985;M;540
2022;Laurea Magistrale;1985;M;448
2022;Laurea Magistrale Ciclo Unico;1985;M;107
2022;Laurea;1986;F;617
2022;Laurea Magistrale;1986;F;817
2022;Laurea Magistrale Ciclo Unico;1986;F;196
2022;Vecchio Ordinamento;1986;F;6
2022;Laurea;1986;M;533
2022;Laurea Magistrale;1986;M;457
2022;Laurea Magistrale Ciclo Unico;1986;M;151
2022;Vecchio Ordinamento;1986;M;1
2022;Laurea;1987;F;668
2022;Laurea Magistrale;1987;F;812
2022;Laurea Magistrale Ciclo Unico;1987;F;246
2022;Vecchio Ordinamento;1987;F;5
2022;Laurea;1987;M;633
2022;Laurea Magistrale;1987;M;576
2022;Laurea Magistrale Ciclo Unico;1987;M;158
2022;Laurea;1988;F;782
2022;Laurea Magistrale;1988;F;966
2022;Laurea Magistrale Ciclo Unico;1988;F;319
2022;Vecchio Ordinamento;1988;F;2
2022;Laurea;1988;M;785
2022;Laurea Magistrale;1988;M;686
2022;Laurea Magistrale Ciclo Unico;1988;M;213
2022;Vecchio Ordinamento;1988;M;1
2022;Laurea;1989;F;880
2022;Laurea Magistrale;1989;F;1095
2022;Laurea Magistrale Ciclo Unico;1989;F;378
2022;Vecchio Ordinamento;1989;F;5
2022;Laurea;1989;M;876
2022;Laurea Magistrale;1989;M;813
2022;Laurea Magistrale Ciclo Unico;1989;M;252
2022;Vecchio Ordinamento;1989;M;1
2022;Laurea;1990;F;1025
2022;Laurea Magistrale;1990;F;1295
2022;Laurea Magistrale Ciclo Unico;1990;F;514
